www.icourse163.org,1001872001,Python机器学习应用,null,29804,北京理工大学,BIT
www.icourse163.org,1001640001,钢琴弹奏基础,null,29682,东北大学,NEU
www.icourse163.org,20003,哲学问题,null,151017,浙江大学,ZJU
www.icourse163.org,495005,《道德经》的智慧启示,null,160307,中国海洋大学,OUC
www.icourse163.org,154005,计算机网络,null,130432,哈尔滨工业大学,HIT
www.icourse163.org,20001,博弈论基础,null,322861,浙江大学,ZJU
www.icourse163.org,51003,大学物理-量子物理,null,37287,国防科技大学,NUDT
www.icourse163.org,23003,微观经济学,null,372238,武汉大学,WHU
www.icourse163.org,1001733003,应用写作,null,28169,华中农业大学,HZAU
www.icourse163.org,1001614009,C语言程序设计——快速入门与提高CAP,null,46450,中国农业大学,CAU
www.icourse163.org,46002,大学物理—力学与热学,null,80677,北京理工大学,BIT
www.icourse163.org,20016,医学统计学,null,67872,中山大学,SYSU
www.icourse163.org,488001,数据库系统概论（基础篇）,null,98184,中国人民大学,RUC
www.icourse163.org,1001573001,心理学与生活,null,274353,南京大学,NJU
www.icourse163.org,24001,简明世界史（一）,null,218880,武汉大学,WHU
www.icourse163.org,1001566011,感觉与知觉,null,26356,台湾新竹“清华大学”,NTHU
www.icourse163.org,1001929011,英语语法与写作,null,183450,暨南大学,JNU
www.icourse163.org,1002215007,多媒体技术与应用,null,31634,同济大学,TONGJI
www.icourse163.org,23004,大学计算机基础,null,101520,中国农业大学,CAU
www.icourse163.org,46006,计算机程序设计（C++）,null,162606,西安交通大学,XJTU
www.icourse163.org,1001872001,Python机器学习应用,null,29804,北京理工大学,BIT
www.icourse163.org,1001640001,钢琴弹奏基础,null,29682,东北大学,NEU
www.icourse163.org,20003,哲学问题,null,151017,浙江大学,ZJU
www.icourse163.org,495005,《道德经》的智慧启示,null,160307,中国海洋大学,OUC
www.icourse163.org,154005,计算机网络,null,130432,哈尔滨工业大学,HIT
www.icourse163.org,20001,博弈论基础,null,322861,浙江大学,ZJU
www.icourse163.org,51003,大学物理-量子物理,null,37287,国防科技大学,NUDT
www.icourse163.org,23003,微观经济学,null,372238,武汉大学,WHU
www.icourse163.org,1001733003,应用写作,null,28169,华中农业大学,HZAU
www.icourse163.org,1001614009,C语言程序设计——快速入门与提高CAP,null,46450,中国农业大学,CAU
www.icourse163.org,46002,大学物理—力学与热学,null,80677,北京理工大学,BIT
www.icourse163.org,20016,医学统计学,null,67872,中山大学,SYSU
www.icourse163.org,488001,数据库系统概论（基础篇）,null,98184,中国人民大学,RUC
www.icourse163.org,1001573001,心理学与生活,null,274353,南京大学,NJU
www.icourse163.org,24001,简明世界史（一）,null,218880,武汉大学,WHU
www.icourse163.org,1001566011,感觉与知觉,null,26356,台湾新竹“清华大学”,NTHU
www.icourse163.org,1001929011,英语语法与写作,null,183450,暨南大学,JNU
www.icourse163.org,1002215007,多媒体技术与应用,null,31634,同济大学,TONGJI
www.icourse163.org,23004,大学计算机基础,null,101520,中国农业大学,CAU
www.icourse163.org,46006,计算机程序设计（C++）,null,162606,西安交通大学,XJTU
www.icourse163.org,1001872001,Python机器学习应用,null,29804,北京理工大学,BIT
www.icourse163.org,1001640001,钢琴弹奏基础,null,29682,东北大学,NEU
www.icourse163.org,20003,哲学问题,null,151017,浙江大学,ZJU
www.icourse163.org,495005,《道德经》的智慧启示,null,160307,中国海洋大学,OUC
www.icourse163.org,154005,计算机网络,null,130432,哈尔滨工业大学,HIT
www.icourse163.org,20001,博弈论基础,null,322861,浙江大学,ZJU
www.icourse163.org,51003,大学物理-量子物理,null,37287,国防科技大学,NUDT
www.icourse163.org,23003,微观经济学,null,372238,武汉大学,WHU
www.icourse163.org,1001733003,应用写作,null,28169,华中农业大学,HZAU
www.icourse163.org,1001614009,C语言程序设计——快速入门与提高CAP,null,46450,中国农业大学,CAU
www.icourse163.org,46002,大学物理—力学与热学,null,80677,北京理工大学,BIT
www.icourse163.org,20016,医学统计学,null,67872,中山大学,SYSU
www.icourse163.org,488001,数据库系统概论（基础篇）,null,98184,中国人民大学,RUC
www.icourse163.org,1001573001,心理学与生活,null,274353,南京大学,NJU
www.icourse163.org,24001,简明世界史（一）,null,218880,武汉大学,WHU
www.icourse163.org,1001566011,感觉与知觉,null,26356,台湾新竹“清华大学”,NTHU
www.icourse163.org,1001929011,英语语法与写作,null,183450,暨南大学,JNU
www.icourse163.org,1002215007,多媒体技术与应用,null,31634,同济大学,TONGJI
www.icourse163.org,23004,大学计算机基础,null,101520,中国农业大学,CAU
www.icourse163.org,46006,计算机程序设计（C++）,null,162606,西安交通大学,XJTU
www.icourse163.org,1001872001,Python机器学习应用,null,29804,北京理工大学,BIT
www.icourse163.org,1001640001,钢琴弹奏基础,null,29682,东北大学,NEU
